10, 5, 4, 3, 6, 28, 52, 37, 70, 107, 181
1, 3, 2, 2, 2, 4, 3, 5, 6, 9, 8
82, 257, 626, 1297, 2402, 4097, 6562, 10001, 14642, 20737, 28562
184, 536, 934, 1759, 3054, 4969, 7684, 11403, 16354, 22789, 30984
0, 1, 1, 1, 7, 12, 18, 31, 72, 95, 172
0, 0, 0, 1, 1, 1, 2, 3, 5, 7, 16
82, 257, 626, 1297, 2402, 4097, 6562, 10001, 14642, 20737, 28562
184, 536, 934, 1759, 3054, 4969, 7684, 11403, 16354, 22789, 30984
0, 1, 1, 5, 7, 12, 23, 68, 67, 105, 150
0, 0, 0, 1, 1, 1, 3, 4, 6, 5, 12
82, 257, 626, 1297, 2402, 4097, 6562, 10001, 14642, 20737, 28562
184, 536, 934, 1759, 3054, 4969, 7684, 11403, 16354, 22789, 30984
0, 1, 1, 2, 7, 7, 18, 26, 61, 101, 175
0, 0, 0, 0, 1, 1, 3, 3, 5, 6, 8
82, 257, 626, 1297, 2402, 4097, 6562, 10001, 14642, 20737, 28562
184, 536, 934, 1759, 3054, 4969, 7684, 11403, 16354, 22789, 30984
0, 0, 1, 2, 6, 7, 15, 40, 63, 97, 192
0, 0, 0, 0, 1, 1, 2, 4, 4, 9, 11
82, 257, 626, 1297, 2402, 4097, 6562, 10001, 14642, 20737, 28562
184, 536, 934, 1759, 3054, 4969, 7684, 11403, 16354, 22789, 30984
1, 0, 1, 2, 6, 7, 18, 33, 62, 117, 164
0, 0, 0, 1, 2, 1, 2, 3, 7, 6, 8
82, 257, 626, 1297, 2402, 4097, 6562, 10001, 14642, 20737, 28562
184, 536, 934, 1759, 3054, 4969, 7684, 11403, 16354, 22789, 30984
1, 1, 1, 2, 4, 10, 15, 30, 61, 107, 164
0, 0, 0, 1, 0, 1, 2, 4, 4, 8, 7
82, 257, 626, 1297, 2402, 4097, 6562, 10001, 14642, 20737, 28562
184, 536, 934, 1759, 3054, 4969, 7684, 11403, 16354, 22789, 30984
0, 0, 1, 2, 4, 8, 21, 35, 56, 112, 175
0, 0, 0, 0, 1, 1, 2, 2, 3, 5, 10
82, 257, 626, 1297, 2402, 4097, 6562, 10001, 14642, 20737, 28562
184, 536, 934, 1759, 3054, 4969, 7684, 11403, 16354, 22789, 30984
0, 0, 1, 2, 4, 9, 17, 31, 54, 100, 162
0, 0, 0, 0, 0, 2, 2, 5, 4, 6, 8
82, 257, 626, 1297, 2402, 4097, 6562, 10001, 14642, 20737, 28562
184, 536, 934, 1759, 3054, 4969, 7684, 11403, 16354, 22789, 30984
0, 0, 1, 4, 6, 8, 35, 33, 58, 106, 157
0, 0, 0, 1, 1, 2, 3, 5, 4, 7, 10
82, 257, 626, 1297, 2402, 4097, 6562, 10001, 14642, 20737, 28562
184, 536, 934, 1759, 3054, 4969, 7684, 11403, 16354, 22789, 30984
